Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2025-03-17,Dinner,400.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,6.0,0.0,10.0,0.0,4.0,4.0,8.0,
2025-03-20,Breakfast,444.5,2.3,1.1,0.1,0.0,0.0,70.0,315.0,534.7,39.8,2.0,25.6,63.9,0.0,23.6,31.6,0.0,
2025-03-20,Dinner,575.0,13.5,3.5,0.0,0.0,0.0,125.0,1840.0,0.0,74.0,17.5,6.0,45.5,1.0,3.0,1.0,3.0,
2025-03-20,Lunch,982.5,16.5,2.3,0.0,0.0,0.0,20.0,1885.0,390.0,124.8,6.0,14.5,80.3,0.0,4.0,38.0,8.0,
2025-03-20,Snacks,110.0,0.0,0.0,0.0,0.0,0.0,10.0,75.0,330.0,11.0,3.0,6.0,17.0,0.0,0.0,20.0,3.9,
2025-03-21,Breakfast,350.7,2.2,1.0,0.1,0.0,0.0,70.0,315.3,227.7,17.7,2.7,9.3,63.7,2.0,16.7,32.3,1.3,
2025-03-21,Lunch,705.0,21.0,3.5,0.0,0.0,0.0,10.0,2805.0,240.0,45.5,0.0,12.0,76.5,0.0,0.0,19.0,0.0,
2025-03-24,Breakfast,330.0,2.0,1.0,0.0,0.0,0.0,70.0,315.0,150.0,13.0,0.0,7.0,63.0,0.0,0.0,31.0,0.0,
2025-03-24,Lunch,1040.0,30.0,4.0,0.0,0.0,0.0,10.0,3795.0,270.0,116.0,1.0,11.0,74.0,0.0,0.0,23.0,20.0,
2025-03-24,Snacks,59.7,0.7,0.0,0.4,0.0,0.0,0.0,1.1,191.0,13.7,7.6,5.6,1.6,2.0,49.5,3.2,4.2,
